sys_sch,SystemId,SystemName,SchoolId,SchoolName,Grade14,Achievement14E,Progress14E,Gap14E,Challenge14E,CCRPIScore14E,performance14_1E,performance14_2E,performance14_3E,performance14_4E,performance14_9E,performance14_10E,Achievement13E,Progress13E,Gap13E,Challenge13E,CCRPIScore13E,performance13_1E,performance13_2E,performance13_3E,performance13_4E,Achievement12E,Progress12E,Gap12E,Challenge12E,CCRPIScore12E,performance12_1E,performance12_2E,performance12_3E,performance12_4E,Achievement14H,Progress14H,Gap14H,Challenge14H,CCRPIScore14H,performance14_2H,performance14_3H,performance14_6H,performance14_7H,performance14_11H,performance14_12H,performance14_17H,Achievement13H,Progress13H,Gap13H,Challenge13H,CCRPIScore13H,performance13_2H,performance13_3H,performance13_6H,performance13_7H,Achievement12H,Progress12H,Gap12H,Challenge12H,CCRPIScore12H,performance12_2H,performance12_6H,performance12_7H,Achievement14M,Progress14M,Gap14M,Challenge14M,CCRPIScore14M,performance14_1M,performance14_2M,performance14_3M,performance14_4M,performance14_9M,Achievement13M,Progress13M,Gap13M,Challenge13M,CCRPIScore13M,performance13_1M,performance13_2M,performance13_3M,performance13_4M,Achievement12M,Progress12M,Gap12M,Challenge12M,CCRPIScore12M,performance12_1M,performance12_2M,performance12_3M,performance12_4M,SingleScore14,SingleScore13,SingleScore12,enrollment_count,enroll_percent_asian,enroll_percent_native,enroll_percent_black,enroll_percent_hispanic,enroll_percent_multiracial,enroll_percent_white,enroll_percent_ed,enroll_percent_swd,enroll_percent_lep,Grades,Phone_Number,Street,City,State,Zip_Code,enroll_E_12,enroll_H_12,enroll_M_12,total_enroll12,E_pct_12,M_pct_12,H_pct_12,enroll_E_13,enroll_H_13,enroll_M_13,total_enroll13,E_pct_13,M_pct_13,H_pct_13,enroll_E_14,enroll_H_14,enroll_M_14,total_enroll14,E_pct_14,M_pct_14,H_pct_14,Grade13,Grade12
603102,603,Bacon County,102,Bacon County Primary School,A,55.4,NA,NA,0,92.3,90.7,99.3,86.4,,,,50.9,,,0.5,85.3,95.6,97.8,92.7,,55.7,,,0.5,93.3,93,99.2,81.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.3000030517578,85.3000030517578,93.3000030517578,540,0,0,24,14,4,57,74,17.6000003814697,12,K-2,(912) 632-4765,251 Cumberland Rd,Alma,GA,31510,551,,,551,1,,,555,,,555,1,,,602,,,602,1,,,B,A
603202,603,Bacon County,202,Bacon County Middle School,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,15.4,8,3.5,77.3,94.1,97.1,90.3,84.2,75.3,47.9,16.3,10,5.4,79.6,93.6,97.8,87.1,80.3,46.3,16.1,6,4.1,72.5,91.6,96.5,83.3,78.9,77.3000030517578,79.5999984741211,72.5,468,0,0,19,11,3,66,67,13.6999998092651,4,6-8,(912) 632-4662,901 N Pierce St,Alma,GA,31510,,,498,498,,1,,,,505,505,,1,,,,500,500,,1,,C,C
603302,603,Bacon County,302,Bacon County High School,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1,13.9,11.3,3.1,73.4,94.3,44.5,81.7,72.2,60.6,45.2,70.3,44.6,14.7,6.3,3.8,69.4,80.4,39.2,77.6,72.7,44.2,17.3,13.8,4.9,80.2,88.7,83.2,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.4000015258789,69.4000015258789,80.1999969482422,533,0,0,18,6,2,73,61,12.6000003814697,2,9-12,(912) 632-4414,901 N Pierce St,Alma,GA,31510,,548,,548,,,1,,546,,546,,,1,,563,,563,,,1,D,B
6033050,603,Bacon County,3050,Bacon County Elementary School,B,53.5,18,9,7.2,87.7,94.7,99.5,93.8,91.6,66.4,73.8,53.2,17.8,11,7.7,89.7,96.7,97.2,95.7,93.1,49.4,17.5,10,6.7,83.6,95.6,97.4,89.5,90.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6999969482422,89.6999969482422,83.5999984741211,449,0,0,22,11,3,64,69,11.6000003814697,10,3-5,(912) 632-4133,523 E 16Th St,Alma,GA,31510,490,,,490,1,,,472,,,472,1,,,491,,,491,1,,,B,B
604105,604,Baker County,105,Baker County K12 School,F,34.4,13,9,0,56.4,80.9,83.8,73.5,53.7,31.8,40,34,15.8,14,0.5,64.3,75,79.2,70.8,57.1,31.2,15.5,9,0,55.7,72.8,80.2,60.5,54.3,34.4,16.1,NA,2,61.4,80,26.3,72.2,60,,,66.7,32.9,14.7,,1.4,57.4,84.2,,26.3,75,32.5,16.8,,2.5,60.5,62.5,,25,35.2,15.2,12,0,62.4,85.1,87.8,82.4,58.7,64,37.7,15.5,7,0,60.2,86.5,86.5,70.3,58.1,36.9,13.7,7,0,57.6,87.1,87.1,71,50.7,59.0999984741211,61.5999984741211,57.2999992370605,319,0,1,70,8,3,18,82,16.8999996185303,4,K-12,(229) 734-5274,260 Ga Highway 37 Sw,Newton,GA,39870,187,91,83,361,0.518010020256042,0.229919999837875,0.252079993486404,177,88,81,346,0.511560022830963,0.234099999070168,0.254339993000031,188,89,88,365,0.515070021152496,0.241099998354912,0.243839994072914,D,F
605100,605,Baldwin County,100,Oak Hill MS,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4,13.4,1,2,58.8,91.3,94.7,75.8,73.4,66.6,43.9,16.7,10,7,77.6,93.9,95.4,83.4,75.1,41.7,15.8,11,3.2,71.7,92.8,93.4,79.8,73.5,58.7999992370605,77.5999984741211,71.6999969482422,1161,1,0,69,2,3,25,84,11.5,1,6-8,(478) 457-3370,356 Blandy Rd Nw,Milledgeville,GA,31061,,,1237,1237,,1,,,,1281,1281,,1,,,,1222,1222,,1,,C,C
605104,605,Baldwin County,104,Eagle Ridge Elementary School,F,37.8,14.1,2,1,54.9,80.6,92.3,70.9,68.6,30.6,37.9,42.8,16.2,5,2.8,66.8,85.1,88.5,80.8,76.4,41.1,18.1,14,3.1,76.3,89,91.6,83.6,70.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.9000015258789,66.8000030517578,76.3000030517578,846,0,0,79,1,3,16,96,6.59999990463257,0,K-5,(478) 457-2967,220 N Abc Dr,Milledgeville,GA,31061,864,,,864,1,,,856,,,856,1,,,941,,,941,1,,,D,C
605189,605,Baldwin County,189,Baldwin High School,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,16.1,8.7,2.9,66,91.5,24.6,72.5,58.3,41.1,24.5,66.6,37.6,15.9,6.3,0.4,60.2,90.2,27.3,64.4,58,36.8,15.1,5,1.3,58.2,72.5,63.6,60.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,60.2000007629395,58.2000007629395,1349,1,0,67,2,3,27,75,13.5,0,9-12,(478) 453-6429,155 Ga Highway 49 W,Milledgeville,GA,31061,,1382,,1382,,,1,,1366,,1366,,,1,,1417,,1417,,,1,D,F
605194,605,Baldwin County,194,Midway Elementary School,F,36.9,12.8,2,0.5,52.2,80.4,89.2,64.4,62,36.7,39,40.4,15.7,6,0.5,62.6,79.9,83.3,68.6,71.5,35.1,16.7,4,0.5,56.3,83.7,87.1,69.3,59.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2000007629395,62.5999984741211,56.2999992370605,562,0,0,63,0,6,31,88,9.10000038146973,0,K-5,(478) 457-2440,101 Carl Vinson Rd Se,Milledgeville,GA,31061,614,,,614,1,,,628,,,628,1,,,618,,,618,1,,,D,F
605195,605,Baldwin County,195,Blandy Hills Elementary School,C,45.3,12.5,9,4,70.8,89.7,94.7,87.2,84.9,56.8,55.8,41.5,14.5,12,2,70,89.6,92.8,83.8,78.5,41.4,12.9,3,0.5,57.8,89.8,88.4,82,70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.8000030517578,70,57.7999992370605,765,1,0,56,3,4,36,84,7.30000019073486,3,K-5,(478) 457-2495,375 Blandy Rd Nw,Milledgeville,GA,31061,862,,,862,1,,,868,,,868,1,,,817,,,817,1,,,C,F
605199,605,Baldwin County,199,Creekside Elementary School,C,45.1,17.9,4,4,71,88,93.2,79.7,75.9,50,61.7,44.6,17.8,4,1.7,68.1,85.5,92.9,74.9,76.5,43.7,16.5,6,2,68.2,87.9,90.8,78.4,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,68.0999984741211,68.1999969482422,894,4,0,47,4,3,42,68,8.39999961853027,2,K-5,(478) 457-3301,372 Blandy Rd Nw,Milledgeville,GA,31061,944,,,944,1,,,967,,,967,1,,,956,,,956,1,,,D,D
606105,606,Banks County,105,Banks County Middle School,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,14,6,5.7,76,92.8,95.1,86.7,87.7,74.6,51.2,15.6,8,3.6,78.4,91.9,94.2,89.9,90.9,54.5,18.2,11,2.7,86.4,95.9,97.6,91.8,93.3,76,78.4000015258789,86.4000015258789,716,1,0,2,9,2,85,67,16.6000003814697,4,6-8,(706) 677-2277,712 Thompson St,Homer,GA,30547,,,764,764,,1,,,,784,784,,1,,,,771,771,,1,,C,B
606107,606,Banks County,107,Banks County Elementary School,B,52.8,15.5,9,7.8,85.1,92.6,96.6,90.8,89,68.9,78.3,52.4,16.3,11,2.7,82.4,94.9,97.6,93.6,90.9,51.6,17.5,11,3.6,83.7,94.5,96.4,92.3,90.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0999984741211,82.4000015258789,83.6999969482422,636,1,0,2,7,2,88,68,15.3000001907349,5,3-5,(706) 677-2308,180 Highway 51 S,Homer,GA,30547,734,,,734,1,,,698,,,698,1,,,694,,,694,1,,,B,B
606199,606,Banks County,199,Banks County High School,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7,12.6,5,3.3,65.6,85.8,28.2,78.6,87.5,51,27.6,86.7,45.5,13.2,8.7,4,71.4,94.4,28.8,77.2,91.4,44.6,14,6.3,1.1,66,88.7,82.3,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.5999984741211,71.4000015258789,66,867,1,0,3,7,2,88,60,14,1,9-12,(706) 677-2221,1486A Historic Homer Hwy,Homer,GA,30547,,872,,872,,,1,,855,,855,,,1,,922,,922,,,1,C,D
606205,606,Banks County,205,Banks County Primary School,A,54.8,NA,NA,0,91.3,92.9,95.1,89.6,,,,48.5,,,0.5,81.3,90.6,96.5,86.5,,58.9,,,0.5,98.7,95.4,98.3,94.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.3000030517578,81.3000030517578,98.6999969482422,627,1,0,1,7,4,87,69,14,7,K-2,(706) 677-2355,266 Highway 51 S,Homer,GA,30547,701,,,701,1,,,707,,,707,1,,,686,,,686,1,,,B,A
607101,607,Barrow County,101,Apalachee High School,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8,15.5,7.5,3.5,71.3,92.7,35.5,87.7,72.6,51.3,40.3,83.7,44.7,15.4,6.3,4.9,71.3,93.3,33.1,87.3,76.4,44,15.9,10,3.3,73.2,91.8,79,68.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3000030517578,71.3000030517578,73.1999969482422,1624,5,0,13,13,2,65,55,12.3000001907349,4,9-12,(770) 586-5111,940 Haymon Morris Rd,Winder,GA,30680,,1738,,1738,,,1,,1766,,1766,,,1,,1769,,1769,,,1,C,C
607105,607,Barrow County,105,County Line Elementary School,C,46.8,15.2,5,6.9,73.9,91.9,96.2,85.7,80,62.9,61.7,47,16.5,9,6.7,79.2,91.7,96,86.7,80.7,44.7,14,7,4.9,70.6,92.2,96.1,85.5,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.9000015258789,79.1999969482422,70.5999984741211,881,3,0,10,19,6,61,72,12.1000003814697,19,K-5,(770) 867-2902,334 Rockwell Church Rd Nw,Winder,GA,30680,1027,,,1027,1,,,1005,,,1005,1,,,998,,,998,1,,,C,C
6071050,607,Barrow County,1050,Auburn Elementary School,C,47.8,14.8,11,4.3,77.9,89.4,95.2,86.7,78.9,61.9,66.7,45,15.1,3,2.7,65.8,84.8,91.8,83,78.1,44.5,14.6,5,2.8,66.9,87.1,93.1,83.2,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.9000015258789,65.8000030517578,66.9000015258789,719,6,1,4,14,6,68,70,12.5,14,K-5,(770) 963-7887,1334 6Th Ave,Auburn,GA,30011,831,,,831,1,,,766,,,766,1,,,832,,,832,1,,,D,D
607106,607,Barrow County,106,Haymon-Morris Middle School,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1,16.3,9,4.4,81.8,92.6,95.9,92.1,83.6,80.6,51.6,16.5,6,5.6,79.7,92.9,97.1,92.7,81.9,50.5,17.9,11,4.5,83.9,97,98.8,93.8,87.7,81.8000030517578,79.6999969482422,83.9000015258789,714,3,1,13,15,4,64,58,9.5,5,6-8,(678) 963-0602,1008 Haymon Morris Rd,Winder,GA,30680,,,753,753,,1,,,,729,729,,1,,,,755,755,,1,,C,B
607113,607,Barrow County,113,Snodon Preparatory School,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,10.3,1.2,0.5,36.8,77.8,4.3,60.5,18.6,,8.3,39.7,24.4,12.8,7.5,0,44.7,76.5,8.7,54.2,36.7,23.8,12.9,,0,43.2,,47.4,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7999992370605,44.7000007629395,43.2000007629395,176,1,0,15,15,3,66,72,17.6000003814697,2,9-12,(770) 868-1072,54 Star St W,Bethlehem,GA,30620,,134,,134,,,1,,212,,212,,,1,,277,,277,,,1,F,F
607114,607,Barrow County,114,Bear Creek Middle School,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,15.7,8,4.2,74.3,89.7,94.8,86.7,77.5,74,,,,,,,,,,,,,,,,,,,74.3000030517578,,,738,3,1,20,15,5,57,64,14.8000001907349,6,6-8,(770) 867-2116,228 Jefferson St,Statham,GA,30666,,,,,,,,,,,,,,,,,809,809,,1,,A,A
607189,607,Barrow County,189,Kennedy Elementary School,C,48.2,15.9,6,4.9,75,88.8,93.9,84.1,78.6,64.4,70.1,46,15.7,4,5.7,71.4,91.3,94.1,85.1,78,47.3,16.9,4,7.5,75.7,93.2,94.2,85.5,80.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,71.4000015258789,75.6999969482422,748,3,0,18,15,5,58,77,13.3999996185303,13,K-5,(770) 867-3182,200 Matthews School Rd,Winder,GA,30680,806,,,806,1,,,818,,,818,1,,,839,,,839,1,,,C,C
607193,607,Barrow County,193,Bramlett Elementary School,C,51.2,15.2,8,5.5,79.9,93,96.4,92.1,91.1,72.6,75.7,52.3,18.7,15,6.2,92.2,96.1,98.7,90.9,93.2,45.9,12.3,4,5.1,67.3,92.3,95.1,86.5,81.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.9000015258789,92.1999969482422,67.3000030517578,682,11,0,4,10,3,72,45,10.8999996185303,11,K-5,(770) 307-1627,622 Freeman Brock Rd,Auburn,GA,30011,729,,,729,1,,,727,,,727,1,,,764,,,764,1,,,A,D
607198,607,Barrow County,198,Westside Middle School,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6,15.7,8,3.3,74.6,90.1,94.5,88.9,81.2,75.7,46,15.6,4,5.1,70.7,91.6,95.6,89.9,77.8,47.6,15.3,5,5.6,73.5,94,96.3,90,78.4,74.5999984741211,70.6999969482422,73.5,686,5,0,11,17,5,62,65,14.6999998092651,7,6-8,(770) 307-2972,240 Matthews School Rd,Winder,GA,30680,,,713,713,,1,,,,743,743,,1,,,,762,762,,1,,C,C
607205,607,Barrow County,205,Bethlehem Elementary School,C,49.2,14.7,7,7.2,78.1,94.3,96.2,90.5,87.7,72.1,61.3,50.2,17,14,5.7,86.9,92.4,95.2,89.6,85.8,45.8,13.4,3,5.2,67.4,90.7,94.6,87.3,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0999984741211,86.9000015258789,67.4000015258789,800,3,0,10,17,4,66,64,12.1000003814697,15,K-5,(770) 867-2238,47 Mcelhannon Rd Sw,Bethlehem,GA,30620,812,,,812,1,,,841,,,841,1,,,890,,,890,1,,,B,D
607289,607,Barrow County,289,Russell Middle School,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7,17.4,13,6.7,89.8,95.1,97.3,93,85.6,83.5,48.3,16.2,7,5.4,76.9,91.4,95.9,86.6,77.7,46.2,16.7,12,4.6,79.5,92.7,95.8,87.2,79.7,89.8000030517578,76.9000015258789,79.5,761,8,1,8,14,4,66,61,12.8999996185303,7,6-8,(770) 867-8181,84 W Midland Ave,Winder,GA,30680,,,806,806,,1,,,,823,823,,1,,,,817,817,,1,,C,C
607298,607,Barrow County,298,Yargo Elementary School,B,51.7,15.5,7,6.4,80.6,94.3,97.3,89.2,87.1,72.5,73.8,52,18.6,12,7.2,89.8,96.8,98.7,94.9,90.7,50.6,17.4,10,5.7,83.7,95.1,96.1,90.2,88.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5999984741211,89.8000030517578,83.6999969482422,718,4,0,12,13,3,67,53,11.3999996185303,13,K-5,(770) 867-1147,1000 Haymon Morris Rd,Winder,GA,30680,712,,,712,1,,,721,,,721,1,,,784,,,784,1,,,B,B
6073052,607,Barrow County,3052,Winder-Barrow High School,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2,16.2,5,4.5,69.9,92.7,31,89,79.4,52,39.5,76.8,44.1,18.2,12.5,4.2,79,92.3,34.9,89.3,76.9,42.8,17.4,8.7,4.1,73,91.1,83,84.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.9000015258789,79,73,1795,6,1,14,12,4,64,52,11.1999998092651,4,9-12,(770) 867-4519,272 N 5Th Ave,Winder,GA,30680,,1853,,1853,,,1,,1886,,1886,,,1,,1947,,1947,,,1,C,C
6074050,607,Barrow County,4050,Holsenbeck Elementary School,C,49.3,17,5,4.5,75.8,90.6,96.8,88.3,81,68.6,63.6,50,20,15,7,92,90.5,95.6,88.6,85.6,44.4,15.6,3,3.5,66.5,86.5,91.2,82.9,72.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.8000030517578,92,66.5,906,3,1,15,12,6,63,66,12,10,K-5,(770) 307-1540,445 Holsenbeck School Rd,Winder,GA,30680,1024,,,1024,1,,,1066,,,1066,1,,,1040,,,1040,1,,,A,D
